Produit;quai;SO;Désignation;Vendeur;Raison Sociale;Expéditeur;Raison Sociale;CU;DTS;DFS;% Actif;St FP;ID;Division;Nom site;Statut FP;Périmètre appro;ID appro
7903301130;JM5;A;VIS RCN M10;63629L  12;AGRATI GIE;63095F  01;AGRATI VIEUX-CONDE SAS;CJ;01/01/1996 01:00;;100.00%;E;123067;;RENNES;Validé exécution;M5D;C003082
7903301156;JM5;A;VIS HRCL M5X80-1;34894C  01;LISI AUTOMOTIVE FORMER;34894C  03;LISI AUTOMOTIVE FORMER;CJ;22/05/2000 02:00;;100.00%;E;123068;;RENNES;Validé exécution;M3V;C002704
7903301178;JM5;J;VIS K H RCL M8X1;63629L  12;AGRATI GIE;63095F  01;AGRATI VIEUX-CONDE SAS;CJ;01/01/1996 01:00;;100.00%;E;123069;;RENNES;Validé exécution;F33;C002829
7903301235;JM5;A;VIS M8X125;63629L  12;AGRATI GIE;63095F  01;AGRATI VIEUX-CONDE SAS;CJ;01/01/1996 01:00;;100.00%;E;123070;;RENNES;Validé exécution;M5D;C003082
7903301241;JM5;A;VIS H M6X100 L20;63629L  12;AGRATI GIE;63095F  01;AGRATI VIEUX-CONDE SAS;CJ;01/01/1996 01:00;04/01/2016 00:00;100.00%;E;123071;;RENNES;Validé exécution;M5D;C003082
7903301244;JM5;A;VIS M8X125 L25;63629L  12;AGRATI GIE;63095F  01;AGRATI VIEUX-CONDE SAS;CJ;01/01/1996 01:00;;100.00%;E;123072;;RENNES;Validé exécution;M5D;C003082
7903301254;JM5;A;VS H RDL M10X150;51562V  01;NEDSCHROEF FASTENERS SAS;51562V  04;NEDSCHROEF FASTENERS SAS;CJ;01/01/1996 01:00;;70.00%;E;123073;;RENNES;Validé exécution;MSB;A170852
7903301254;JM5;A;VS H RDL M10X150;68891F  01;FONTANA FASTENERS FRANCE SA;68891F  01;FONTANA FASTENERS FRANCE SA;CJ;01/01/1996 01:00;;30.00%;E;123074;;RENNES;Validé exécution;MSB;A170852
7903301257;JM5;A;VIS H RDL M10X15;68891F  01;FONTANA FASTENERS FRANCE SA;68891F  01;FONTANA FASTENERS FRANCE SA;CJ;01/01/1996 01:00;;100.00%;E;123075;;RENNES;Validé exécution;M5I;C175543
7903301258;JM5;A;VIS H 10X150 L75;82109Y  01;ITW RIVEX;82109Y  01;ITW RIVEX;CJ;28/07/1997 02:00;;100.00%;E;123076;;RENNES;Validé exécution;M3V;C002704
